UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
117104,36,51,55,0,1,44,,14,41,36,53,60,0,0,40,,9,51,36,49,49,0,2,49,,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,56,56,0,0,44,,6,50,43,49,49,0,0,51,,6,43,56,66,66,0,0,34,,7,59,44,50,50,0,0,50,,0,50,43,43,43,0,0,57,,0,43,44,56,56,0,0,44,,0,56
117140,52,68,69,0,18,13,0,0,69,59,80,81,0,19,0,0,0,81,42,51,52,0,17,30,0,0,52,25,25,25,0,0,75,0,0,25,100,100,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,56,62,64,1,15,20,0,1,63,66,74,76,0,13,11,0,2,74,48,53,55,1,17,27,0,1,54,37,49,54,0,21,24,0,1,53,45,60,65,0,18,17,0,2,63,33,43,48,1,23,28,0,1,47
117168,46,71,73,0,8,19,0,,73,26,61,65,0,13,22,0,,65,54,75,75,0,7,18,0,,75,0,50,50,0,0,50,0,,50,,,,,,,,,,0,50,50,0,0,50,0,,50,44,60,61,1,13,24,1,,60,39,64,64,4,21,11,0,,64,47,57,60,0,9,32,2,,57,38,50,63,0,0,38,0,,63,25,50,75,0,0,25,0,,75,50,50,50,0,0,50,0,,50
117195,30,32,33,1,17,48,0,33,,43,45,45,0,14,41,0,45,,26,28,30,1,18,51,0,30,,5,6,7,1,28,64,0,6,,16,16,16,0,12,72,0,16,,4,6,6,1,29,64,0,6,,20,24,26,0,47,26,0,26,,35,37,37,0,43,20,0,37,,15,20,23,1,49,28,1,22,,3,4,5,1,53,41,0,5,,33,42,46,0,25,29,0,46,,3,3,4,1,54,42,0,4,
117247,31,35,37,1,13,50,4,32,,29,34,36,1,12,51,3,33,,34,36,38,1,13,49,6,32,,20,24,25,1,15,59,2,23,,20,25,26,2,12,59,3,24,,20,24,25,1,15,58,2,23,,25,28,30,1,29,40,5,24,,23,28,30,1,26,44,5,25,,26,29,30,1,32,37,6,24,,8,10,12,1,40,46,1,11,,17,22,24,3,30,43,4,20,,7,10,11,1,41,47,0,10,
117274,25,26,27,1,23,49,1,26,,29,29,30,0,28,43,1,29,,23,25,25,1,21,53,1,24,,1,1,3,0,13,84,0,3,,9,9,9,0,18,73,0,9,,1,1,3,0,13,84,0,3,,32,34,34,2,34,30,5,29,,33,33,33,2,29,36,4,29,,31,34,34,2,39,25,6,28,,4,7,9,0,30,61,0,9,,10,10,10,0,40,50,0,10,,4,7,9,0,30,61,0,9,
117283,8,8,8,0,0,92,0,8,0,,,,,,,,,,8,8,8,0,0,92,0,8,0,0,0,0,0,0,100,0,0,0,,,,,,,,,,0,0,0,0,0,100,0,0,0,50,50,50,0,0,50,0,50,0,,,,,,,,,,50,50,50,0,0,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117575,0,0,0,0,0,100,,0,0,0,0,0,0,0,100,,0,0,,,,,,,,,,0,100,100,0,0,0,,100,0,,,,,,,,,,0,100,100,0,0,0,,100,0,33,33,33,0,0,67,,0,33,,,,,,,,,,33,33,33,0,0,67,,0,33,11,17,17,0,0,83,,6,11,,,,,,,,,,11,17,17,0,0,83,,6,11
117627,28,45,46,0,30,24,1,0,45,27,41,42,0,34,24,0,0,42,28,49,51,1,24,24,3,0,49,8,28,31,2,3,65,0,0,31,10,31,36,0,3,62,0,0,36,4,23,23,4,4,69,0,0,23,53,56,57,1,0,42,0,0,57,53,56,57,1,0,42,0,0,57,53,56,56,1,0,42,0,0,56,19,40,41,1,24,34,0,0,41,2,52,53,1,16,30,0,0,53,29,32,33,0,30,37,0,0,33
117636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,94,94,0,4,2,7,18,68,93,94,94,0,5,1,1,20,72,90,93,93,0,3,3,11,17,65,64,65,65,0,13,22,4,2,60,50,50,50,0,50,0,0,0,50,65,67,67,0,8,24,4,2,61
