UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
154350,63,66,67,0,24,9,0,,67,52,58,59,0,31,10,0,,59,69,71,72,0,19,9,0,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,74,74,0,11,15,0,,74,72,72,72,0,9,19,0,,72,76,76,76,0,12,12,0,,76,52,56,57,0,11,31,2,,56,35,35,40,0,20,40,0,,40,62,68,68,0,6,26,3,,65
154378,35,38,39,0,19,42,7,32,,35,36,37,0,20,44,6,31,,36,42,43,0,18,39,9,34,,17,19,23,3,18,55,5,18,,17,18,24,3,18,55,4,19,,18,20,22,4,19,55,6,16,,72,75,75,0,6,19,5,70,,69,69,69,0,6,25,3,66,,74,79,79,0,6,15,6,72,,44,50,50,0,21,29,6,44,,36,36,36,0,27,36,9,27,,48,57,57,0,17,26,4,52,
154396,50,50,50,0,24,26,5,45,,48,48,48,1,26,26,5,43,,53,53,53,0,21,25,4,49,,27,33,35,2,16,47,4,31,,29,47,47,0,12,41,6,41,,25,25,28,3,19,50,3,25,,47,47,47,0,30,23,6,41,,43,43,43,0,30,27,5,38,,54,54,54,0,29,17,9,46,,26,36,37,0,26,37,6,31,,33,41,41,0,19,41,11,30,,22,33,35,0,29,35,4,31,
154493,39,43,44,1,33,22,0,2,42,30,34,34,2,37,27,0,2,32,49,54,54,0,29,16,0,2,53,13,17,18,2,35,45,1,10,8,20,26,26,0,30,43,1,13,12,5,7,9,4,40,47,0,5,4,62,66,68,0,12,20,0,2,66,58,64,65,0,13,22,0,2,63,66,68,70,0,11,19,0,1,69,37,41,43,1,23,33,0,3,40,41,46,47,0,23,30,0,3,43,34,39,41,2,22,35,0,2,39
154518,16,23,27,1,12,61,0,1,25,13,22,28,0,18,54,0,3,25,19,24,26,1,7,66,0,0,26,5,7,13,2,16,69,0,5,8,10,10,29,0,14,57,0,14,14,3,5,5,3,18,75,0,0,5,23,31,40,3,5,53,0,2,38,33,33,34,0,22,43,0,4,30,21,31,41,3,2,54,0,1,39,39,43,46,3,3,48,0,1,45,22,22,25,0,6,69,0,6,19,45,50,54,4,2,40,0,0,54
154527,62,67,67,0,24,9,,,67,45,46,46,0,38,15,,,46,67,74,74,0,19,7,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,83,0,0,17,,,83,100,100,100,0,0,0,,,100,77,77,77,0,0,23,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
154572,49,52,52,1,14,33,18,34,,47,50,51,1,12,36,20,31,,51,54,54,1,16,29,17,38,,28,29,37,2,17,44,15,22,,31,35,50,2,11,37,14,36,,25,25,28,2,21,50,16,12,,64,65,66,1,13,20,15,51,,64,66,66,1,12,21,16,50,,64,65,65,1,15,18,14,51,,42,45,46,1,24,29,16,30,,47,51,53,1,17,29,19,34,,38,41,41,1,30,28,15,27,
154590,23,28,29,0,44,27,0,0,29,20,25,25,0,47,28,0,0,25,27,34,36,0,39,26,0,0,36,0,8,8,0,54,38,0,0,8,0,0,0,0,50,50,0,0,0,0,11,11,0,56,33,0,0,11,52,53,54,0,31,16,0,0,54,41,41,42,0,38,20,0,0,42,71,72,72,0,19,9,0,0,72,42,46,48,0,17,35,0,0,48,28,32,32,0,24,44,0,0,32,56,59,63,0,11,26,0,0,63
154642,40,42,43,0,35,22,2,40,,37,39,39,1,35,26,3,36,,43,45,46,0,35,19,2,44,,16,19,20,1,51,29,12,7,,20,31,31,2,22,45,12,18,,15,17,17,0,56,26,12,5,,43,46,46,1,33,20,3,43,,48,48,48,0,26,26,6,42,,38,44,44,3,38,15,0,44,,9,9,9,0,75,15,4,5,,33,33,33,0,30,37,14,19,,5,6,6,0,82,12,3,3,
154688,49,62,62,1,28,9,,0,62,45,63,63,0,21,16,,0,63,51,62,62,1,30,6,,0,62,26,32,32,0,5,63,,26,5,40,50,50,0,10,40,,40,10,11,11,11,0,0,89,,11,0,69,70,71,0,19,10,,3,68,52,57,57,0,28,15,,2,54,75,76,77,0,15,8,,4,73,54,60,63,0,12,25,,7,56,33,45,45,0,16,39,,5,41,65,68,72,0,10,18,,8,65
