UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
176044,83,86,81,9,12,7,8,10,6,1,2,1
176053,29,33,27,57,62,55,57,61,54,1,1,1
176080,80,81,79,25,28,23,25,27,23,0,0,0
176318,29,36,27,67,65,68,63,60,65,3,5,2
176336,56,40,81,78,100,62,78,100,62,0,0,0
176372,96,95,97,18,18,18,18,17,18,0,0,0
176406,71,62,75,11,13,10,11,13,10,0,0,0
176479,55,58,54,48,48,48,47,48,47,0,0,1
176628,54,52,58,18,18,19,18,18,19,0,0,0
176770,100,100,100,100,100,100,33,0,50,67,100,50
176947,95,95,95,29,27,32,29,26,32,0,0,0
176965,64,65,63,30,35,26,30,34,26,1,1,0
176983,85,95,53,74,79,50,58,67,13,16,12,38
177038,55,50,56,33,0,40,17,0,20,17,0,20
177083,100,100,,100,100,,100,100,,0,0,
177117,61,,61,31,,31,31,,31,0,,0
177144,98,98,99,16,14,21,16,14,21,0,0,0
177214,71,71,71,29,31,27,29,31,27,0,0,0
177339,68,70,67,40,37,42,37,34,39,3,3,3
177418,85,89,83,28,32,26,28,32,26,0,0,1
177542,65,71,58,41,39,44,35,28,44,6,10,0
177746,59,56,60,31,28,32,31,28,32,0,0,0
177931,90,100,89,100,100,100,100,100,100,0,0,0
177968,92,92,92,28,28,27,27,27,26,1,1,1
177986,85,82,87,82,67,92,64,56,69,18,11,23
178004,,,,,,,,,,,,
178059,95,93,96,30,30,31,30,30,31,0,0,0
178183,77,57,79,82,88,82,82,88,82,0,0,0
178208,97,96,99,89,85,96,18,18,18,72,68,79
178244,65,61,69,50,51,49,49,51,48,1,0,1
178341,98,98,99,36,38,34,32,34,30,4,4,3
178369,62,63,61,23,23,22,22,22,21,1,1,1
178396,82,82,82,31,34,30,31,34,29,0,0,0
178402,63,62,64,30,29,30,29,28,29,1,1,1
178411,81,84,76,25,27,18,24,27,18,0,0,0
178420,58,59,57,21,27,17,20,26,16,1,1,1
178615,72,70,74,26,26,26,26,26,26,0,0,0
178624,80,80,80,19,20,18,19,20,18,0,0,0
178679,98,98,98,47,52,44,45,51,40,2,1,3
178697,14,15,14,87,86,89,87,86,89,0,0,0
179043,73,72,73,16,20,14,16,20,14,0,0,0
179052,73,100,58,96,92,100,96,92,100,0,0,0
179159,56,56,55,17,16,17,17,16,17,0,0,0
179256,70,78,68,27,57,16,19,29,16,8,29,0
179265,78,75,79,34,38,33,34,38,33,0,0,0
179326,73,76,72,31,35,29,30,34,27,2,1,2
179548,64,,64,18,,18,18,,18,0,,0
179557,93,92,94,33,35,31,32,34,30,1,1,1
179566,87,85,87,32,34,31,30,31,29,2,3,2
179867,16,16,16,40,40,40,40,40,40,0,0,0
179894,53,56,51,27,29,25,26,28,24,1,1,1
179946,97,96,99,19,20,19,19,20,19,0,0,0
179955,36,38,35,34,36,32,34,36,32,0,0,0
179964,63,58,64,16,19,15,15,18,14,1,1,1
180106,73,71,74,26,25,26,25,25,26,0,0,0
180258,99,98,99,56,53,57,34,40,31,22,13,26
180416,97,97,98,31,30,33,30,29,32,1,0,1
180461,81,81,81,21,21,21,18,19,18,3,3,3
180489,96,95,97,25,25,25,22,23,22,3,3,3
180595,71,73,70,24,28,21,24,28,21,0,0,0
180692,52,56,49,54,54,54,54,54,53,0,0,1
180717,75,67,100,50,50,50,50,50,50,0,0,0
180832,57,64,56,72,57,75,52,43,53,21,14,22
180878,58,50,58,53,40,54,45,20,46,8,20,7
180984,76,71,89,20,16,30,20,16,30,0,0,0
181002,64,64,64,18,18,18,18,18,18,0,0,0
181020,69,66,73,20,21,19,20,21,19,0,0,0
181127,66,65,67,21,22,20,21,22,20,0,0,0
181215,88,88,89,18,17,18,17,17,17,0,0,0
181297,92,86,92,63,83,62,56,83,53,8,0,8
181330,51,50,54,37,34,40,37,34,40,0,0,0
181394,82,81,83,30,30,31,30,29,30,1,1,1
181446,70,69,70,25,24,26,25,24,26,0,0,0
181464,78,78,78,35,38,33,35,38,33,0,0,0
181543,36,56,0,100,100,,100,100,,0,0,
181604,50,,50,41,,41,41,,41,0,,0
181738,98,96,98,10,15,7,10,15,7,0,0,0
181853,66,68,64,35,35,35,35,35,35,0,0,0
182281,81,79,83,42,44,40,40,42,39,1,2,1
