UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
236948,"R",7166,"R",9585,"R",75,"R",6898,"R",1,"R",0,"R",6897,"R",6414,"R",93,"R",129,"R",0,"R",0,"R",129,"R",87,"R",67,"R",21
236975,"R",440,"R",931,"R",47,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",14
237011,"R",2813,"R",4044,"R",70,"R",2428,"R",0,"R",0,"R",2428,"R",1960,"R",81,"R",66,"R",0,"R",0,"R",66,"R",44,"R",67,"R",17
237039,"R",464,"R",1254,"R",37,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",13
237057,"R",477,"R",512,"R",93,"R",269,"R",0,"R",0,"R",269,"R",239,"R",89,"R",25,"R",0,"R",0,"R",25,"R",24,"R",96,"R",9
237066,"R",532,"R",636,"R",84,"R",602,"R",4,"R",0,"R",598,"R",471,"R",79,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",11
237109,"R",285,"R",643,"R",44,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",18
237118,"R",262,"R",359,"R",73,"R",224,"R",0,"R",0,"R",224,"R",117,"R",52,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",13
237127,"A",,"A",,"A",,"R",35,"R",0,"R",0,"R",35,"R",23,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
237136,"R",26,"R",54,"R",48,"R",25,"R",0,"R",0,"R",25,"R",17,"R",68,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",7
237145,"A",,"A",,"A",,"R",6,"Z",0,"Z",0,"R",6,"R",6,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",4
237172,"A",,"A",,"A",,"R",20,"R",0,"R",0,"R",20,"R",14,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
237181,"R",167,"R",195,"R",86,"R",187,"R",0,"R",0,"R",187,"R",122,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
237215,"R",314,"R",506,"R",62,"R",85,"R",0,"R",0,"R",85,"R",52,"R",61,"R",10,"R",0,"R",0,"R",10,"R",1,"R",10,"R",13
237242,"A",,"A",,"A",,"R",34,"R",0,"R",0,"R",34,"R",30,"R",88,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"R",6
237303,"A",,"A",,"A",,"R",27,"R",0,"R",0,"R",27,"R",15,"R",56,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
237312,"R",220,"R",567,"R",39,"R",267,"R",0,"R",0,"R",267,"R",198,"R",74,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",14
237321,"A",,"A",,"A",,"R",11,"R",0,"R",0,"R",11,"R",6,"R",55,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
237330,"R",390,"R",526,"R",74,"R",382,"R",0,"R",0,"R",382,"R",217,"R",57,"R",1,"R",0,"R",0,"R",1,"R",0,"R",0,"R",15
237358,"R",170,"R",210,"R",81,"R",152,"R",0,"R",0,"R",152,"R",102,"R",67,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
237367,"R",625,"R",1160,"R",54,"R",771,"R",0,"R",0,"R",771,"R",468,"R",61,"R",28,"R",0,"R",0,"R",28,"R",2,"R",7,"R",14
237385,"R",318,"R",723,"R",44,"R",202,"R",0,"R",0,"R",202,"R",138,"R",68,"R",5,"R",0,"R",0,"R",5,"R",0,"R",0,"R",17
237437,"R",12,"R",33,"R",36,"R",24,"R",0,"R",0,"R",24,"R",10,"R",42,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",18
237473,"A",,"A",,"A",,"R",43,"R",0,"R",0,"R",43,"R",40,"R",93,"A",,"A",,"A",,"A",,"A",,"A",,"R",16
237491,"A",,"A",,"A",,"R",8,"R",0,"R",0,"R",8,"R",8,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
237525,"R",1574,"R",2654,"R",59,"R",1701,"R",1,"R",0,"R",1700,"R",1204,"R",71,"R",27,"R",0,"R",0,"R",27,"R",11,"R",41,"R",17
237543,"A",,"A",,"A",,"R",30,"Z",0,"Z",0,"R",30,"R",26,"R",87,"R",9,"Z",0,"Z",0,"R",9,"R",7,"R",78,"R",10
237561,"A",,"A",,"A",,"R",26,"R",0,"R",0,"R",26,"R",23,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
237570,"A",,"A",,"A",,"R",23,"R",0,"R",0,"R",23,"R",19,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"R",9
237598,"R",3,"R",3,"R",100,"R",6,"R",0,"R",0,"R",6,"R",5,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
237686,"R",212,"R",827,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",15
237701,"R",377,"R",582,"R",65,"R",392,"R",0,"R",0,"R",392,"R",208,"R",53,"R",8,"R",0,"R",0,"R",8,"R",2,"R",25,"R",17
237729,"A",,"A",,"A",,"R",23,"R",0,"R",0,"R",23,"R",19,"R",83,"R",14,"Z",0,"Z",0,"R",14,"R",10,"R",71,"R",11
237783,"A",,"A",,"A",,"R",127,"R",0,"R",0,"R",127,"R",59,"R",46,"R",52,"R",0,"R",0,"R",52,"R",1,"R",2,"R",17
237792,"R",412,"R",780,"R",53,"R",517,"R",0,"R",0,"R",517,"R",342,"R",66,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",14
237817,"R",373,"R",609,"R",61,"R",407,"Z",0,"Z",0,"R",407,"R",206,"R",51,"R",23,"Z",0,"Z",0,"R",23,"R",13,"R",57,"R",17
237844,"A",,"A",,"A",,"R",61,"R",0,"R",0,"R",61,"R",58,"R",95,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
237899,"R",301,"R",1657,"R",18,"R",272,"R",0,"R",0,"R",272,"R",152,"R",56,"R",9,"R",0,"R",0,"R",9,"R",4,"R",44,"R",12
237905,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",6
237932,"R",375,"R",622,"R",60,"R",356,"R",0,"R",0,"R",356,"R",330,"R",93,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
237950,"R",298,"R",784,"R",38,"R",279,"R",0,"R",0,"R",279,"R",159,"R",57,"R",3,"Z",0,"Z",0,"R",3,"R",1,"R",33,"R",12
237969,"R",302,"R",339,"R",89,"R",258,"R",0,"R",0,"R",258,"R",167,"R",65,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
237987,"R",42,"R",109,"R",39,"R",47,"R",0,"R",0,"R",47,"R",38,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
237996,"R",78,"R",204,"R",38,"R",101,"R",0,"R",0,"R",101,"R",68,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
238005,"A",,"A",,"A",,"R",49,"R",0,"R",0,"R",49,"R",42,"R",86,"A",,"A",,"A",,"A",,"A",,"A",,"R",20
238014,"R",174,"R",502,"R",35,"R",233,"R",0,"R",0,"R",233,"R",120,"R",52,"R",37,"R",0,"R",0,"R",37,"R",7,"R",19,"R",10
238032,"R",4296,"R",5723,"R",75,"R",4479,"R",2,"R",0,"R",4477,"R",3637,"R",81,"R",15,"R",0,"R",0,"R",15,"R",3,"R",20,"R",18
238078,"R",151,"R",215,"R",70,"R",188,"R",0,"R",0,"R",188,"R",163,"R",87,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
238096,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",5
238175,"A",,"A",,"A",,"R",19,"Z",0,"Z",0,"R",19,"R",19,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
238193,"R",111,"R",243,"R",46,"R",128,"R",1,"R",0,"R",127,"R",88,"R",69,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
238263,"R",654,"R",2319,"R",28,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
238324,"R",38,"R",285,"R",13,"R",37,"R",0,"R",0,"R",37,"R",32,"R",86,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",13
238333,"R",290,"R",341,"R",85,"R",186,"R",0,"R",0,"R",186,"R",164,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
238397,"R",193,"R",715,"R",27,"R",157,"R",0,"R",0,"R",157,"R",90,"R",57,"R",326,"R",0,"R",0,"R",326,"R",174,"R",53,"R",9
238430,"R",104,"R",363,"R",29,"R",77,"R",0,"R",0,"R",77,"R",54,"R",70,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",6
238458,"R",674,"R",860,"R",78,"R",688,"Z",0,"Z",0,"R",688,"R",535,"R",78,"R",5,"Z",0,"Z",0,"R",5,"R",1,"R",20,"R",14
238476,"R",754,"R",861,"R",88,"R",721,"R",0,"R",0,"R",721,"R",523,"R",73,"R",3,"R",0,"R",0,"R",3,"R",1,"R",33,"R",13
238616,"R",481,"R",836,"R",58,"R",518,"R",0,"R",0,"R",518,"R",415,"R",80,"R",15,"Z",0,"Z",0,"R",15,"R",1,"R",7,"R",12
238661,"R",255,"R",404,"R",63,"R",286,"Z",0,"R",0,"R",286,"R",205,"R",72,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",12
238722,"R",242,"R",5803,"R",4,"R",220,"R",0,"R",0,"R",220,"R",165,"R",75,"R",391,"R",0,"R",0,"R",391,"R",229,"R",59,"R",13
238759,"R",376,"R",4082,"R",9,"R",370,"R",1,"R",0,"R",369,"R",249,"R",67,"R",706,"R",0,"R",0,"R",706,"R",415,"R",59,"R",7
238810,"A",,"A",,"A",,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",8
238980,"R",162,"R",384,"R",42,"R",186,"R",0,"R",0,"R",186,"R",136,"R",73,"R",12,"R",0,"R",0,"R",12,"R",4,"R",33,"R",15
239008,"R",173,"R",812,"R",21,"R",208,"R",0,"R",0,"R",208,"R",136,"R",65,"R",233,"R",0,"R",0,"R",233,"R",135,"R",58,"R",11
239017,"R",400,"R",423,"R",95,"R",372,"R",2,"R",0,"R",370,"R",328,"R",89,"R",5,"R",0,"R",0,"R",5,"R",3,"R",60,"R",8
239071,"R",131,"R",370,"R",35,"R",111,"R",0,"R",0,"R",111,"R",87,"R",78,"R",3,"R",0,"R",0,"R",3,"R",2,"R",67,"R",10
239080,"R",219,"R",305,"R",72,"R",252,"R",0,"R",0,"R",252,"R",165,"R",65,"R",2,"R",0,"R",0,"R",2,"R",0,"R",0,"R",12
239105,"R",1653,"R",1920,"R",86,"R",1647,"R",0,"R",0,"R",1647,"R",1468,"R",89,"R",4,"R",0,"R",0,"R",4,"R",3,"R",75,"R",13
239220,"R",181,"R",1154,"R",16,"R",222,"R",0,"R",0,"R",222,"R",149,"R",67,"R",309,"R",0,"R",0,"R",309,"R",181,"R",59,"R",12
239248,"R",899,"R",3601,"R",25,"R",826,"R",5,"R",0,"R",821,"R",379,"R",46,"R",1020,"R",35,"R",0,"R",985,"R",363,"R",37,"R",9
239309,"R",221,"R",254,"R",87,"R",292,"R",0,"R",0,"R",292,"R",215,"R",74,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",11
