INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
Northeastern University Oakland,CA,3.0,0,30856000.0,640.0
MiraCosta College,CA,1.0,0,225303104.0,11478.0
Modesto Junior College,CA,1.0,0,147520798.0,18258.0
Middlebury Institute of International Studies at Monterey,CA,3.0,0,33797081.0,526.0
Moorpark College,CA,1.0,0,118877157.0,14583.0
Mount Saint Mary's University,CA,4.0,0,81703170.0,2312.0
Musicians Institute,CA,2.0,0,19466298.0,824.0
National University,CA,3.0,0,449276400.0,22115.0
Naval Postgraduate School,CA,1.0,0,,2441.0
Newschool of Architecture and Design,CA,2.0,0,8168592.0,273.0
San Francisco Bay University,CA,3.0,0,11636161.0,389.0
Notre Dame de Namur University,CA,4.0,0,15606760.0,306.0
Occidental College,CA,3.0,0,117534309.0,1881.0
Otis College of Art and Design,CA,3.0,0,55719739.0,1267.0
Hope International University,CA,4.0,0,21560300.0,1025.0
Palo Alto University,CA,3.0,0,39551901.0,1065.0
Pacific Oaks College,CA,3.0,0,20574448.0,1068.0
Pacific School of Religion,CA,4.0,0,7786846.0,124.0
Pacific States University,CA,3.0,0,813892.0,101.0
Pacific Union College,CA,4.0,0,30966539.0,974.0
University of the Pacific,CA,3.0,0,364712020.0,6944.0
Pepperdine University,CA,4.0,0,469768000.0,8976.0
Pitzer College,CA,3.0,0,83897948.0,1242.0
Point Loma Nazarene University,CA,4.0,0,126202069.0,4757.0
Pomona College,CA,3.0,0,191094000.0,1700.0
Santa Ana College,CA,1.0,0,170967986.0,27248.0
RAND School of Public Policy,CA,3.0,0,7267000.0,230.0
University of Redlands,CA,3.0,0,111628557.0,3087.0
Rio Hondo College,CA,1.0,0,206541873.0,17441.0
Dongguk University Los Angeles,CA,3.0,0,1729955.0,102.0
Samuel Merritt University,CA,3.0,0,91438811.0,1926.0
San Diego Mesa College,CA,1.0,0,159437705.0,19212.0
San Diego State University,CA,1.0,1,887658608.0,41137.0
University of San Diego,CA,4.0,0,356180000.0,9714.0
San Francisco Conservatory of Music,CA,3.0,0,37895000.0,439.0
San Francisco State University,CA,1.0,0,570423829.0,22563.0
