UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8   
458034,94,94,94,0,0,6,29,65,.,91,91,91,0,0,9,27,64,.,100,100,100,0,0,0,33,67,.,100,100,100,0,0,0,71,29,.,100,100,100,0,0,0,71,29,.,100,100,100,0,0,0,71,29,.,100,100,100,0,0,0,63,38,.,100,100,100,0,0,0,67,33,.,100,100,100,0,0,0,57,43,.,100,100,100,0,0,0,64,36,.,100,100,100,0,0,0,57,43,.,100,100,100,0,0,0,71,29,.
458113,50,50,67,0,33,0,0,0,67,0,0,0,0,100,0,0,0,0,75,75,100,0,0,0,0,0,100,20,20,20,0,20,60,0,0,20,0,0,0,0,0,100,0,0,0,33,33,33,0,33,33,0,0,33,75,75,100,0,0,0,0,0,100,.,.,.,.,.,.,.,.,.,75,75,100,0,0,0,0,0,100,0,0,0,0,25,75,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,100,0,0,0
458140,83,83,83,0,0,17,6,78,.,83,83,83,0,0,17,0,83,.,83,83,83,0,0,17,8,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94,94,94,0,0,6,12,83,.,94,94,94,0,0,6,17,78,.,94,94,94,0,0,6,9,85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
458210,58,60,60,0,32,8,.,.,60,50,55,55,0,27,18,.,.,55,65,65,65,0,35,0,.,.,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,77,77,0,19,3,.,.,77,65,71,72,0,25,3,.,.,72,76,81,81,1,15,4,.,.,81,88,88,88,0,13,0,.,.,88,100,100,100,0,0,0,.,.,100,50,50,50,0,50,0,.,.,50
458229,37,37,37,0,53,10,.,.,37,36,36,36,0,57,7,.,.,36,38,38,38,0,50,13,.,.,38,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,67,68,0,28,4,.,.,68,62,66,67,0,28,5,.,.,67,65,69,70,0,27,3,.,.,70,50,50,50,0,50,0,.,.,50,50,50,50,0,50,0,.,.,50,.,.,.,.,.,.,.,.,.
458405,69,69,69,0,11,20,61,8,.,50,51,51,0,18,31,36,14,.,87,87,87,0,4,8,86,1,.,29,29,29,0,24,48,24,5,.,25,25,25,0,25,50,17,8,.,33,33,33,0,22,44,33,0,.,45,46,46,0,19,35,26,20,.,45,46,46,0,19,35,25,21,.,56,56,56,0,11,33,56,0,.,23,23,23,0,23,54,15,8,.,23,23,23,0,23,54,15,8,.,.,.,.,.,.,.,.,.,.
458441,35,36,36,0,23,41,10,26,.,36,37,37,0,23,41,9,27,.,32,32,32,0,23,45,23,9,.,27,27,27,0,20,53,7,20,.,27,27,27,0,20,53,7,20,.,.,.,.,.,.,.,.,.,.,33,35,35,0,23,42,5,30,.,33,34,34,0,23,42,4,31,.,50,50,50,0,17,33,33,17,.,27,27,27,0,20,53,7,20,.,29,29,29,0,21,50,7,21,.,0,0,0,0,0,100,0,0,.
458496,13,14,14,0,1,86,2,2,10,8,9,9,0,1,90,1,1,7,25,25,25,0,0,75,3,3,19,10,10,10,0,2,89,0,8,2,11,11,11,0,3,86,0,8,3,8,8,8,0,0,92,0,8,0,26,28,28,0,1,71,3,5,20,20,24,24,0,1,75,2,4,17,36,36,36,0,0,64,5,7,24,24,24,24,0,0,76,12,4,8,15,15,15,0,0,85,7,4,4,36,36,36,0,0,64,18,5,14
458681,48,48,48,0,13,39,37,11,.,50,50,50,0,12,38,38,12,.,25,25,25,0,25,50,25,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,44,44,0,13,42,27,17,.,49,49,49,0,12,38,29,20,.,13,13,13,0,20,67,13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
458885,33,33,33,0,33,33,0,0,33,0,0,0,0,0,100,0,0,0,50,50,50,0,50,0,0,0,50,0,3,9,0,23,69,0,0,9,0,3,6,0,22,72,0,0,6,0,0,33,0,33,33,0,0,33,43,50,50,0,21,29,0,0,50,67,67,67,0,33,0,0,0,67,36,45,45,0,18,36,0,0,45,3,8,8,0,46,47,0,0,8,3,7,7,0,46,46,0,0,7,6,12,12,0,41,47,0,0,12
458919,7,11,15,0,30,56,0,0,15,7,14,21,0,29,50,0,0,21,8,8,8,0,31,62,0,0,8,4,12,13,0,30,56,0,5,8,4,13,15,0,30,55,0,5,9,4,6,6,0,33,61,0,2,4,38,45,45,0,29,25,0,3,43,34,41,41,0,35,24,0,4,37,42,49,50,0,23,27,0,2,49,10,15,17,0,40,43,0,2,14,10,15,16,0,40,44,0,2,13,10,17,19,0,40,41,0,2,17
458955,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,33,67,0,0,0,0,0,0,0,40,60,0,0,0,0,0,0,0,14,86,0,0,0,13,13,13,0,38,50,0,0,13,17,17,17,0,33,50,0,0,17,0,0,0,0,50,50,0,0,0,5,7,7,0,43,50,0,1,6,2,4,4,0,44,52,0,1,3,18,24,24,0,35,41,0,0,24
458964,13,25,25,0,75,0,0,0,25,0,25,25,0,75,0,0,0,25,25,25,25,0,75,0,0,0,25,3,8,10,0,25,65,0,4,6,4,11,12,0,26,62,0,6,6,0,0,5,0,22,73,0,0,5,28,33,33,3,42,22,0,4,29,32,34,34,0,45,21,0,5,29,25,33,33,5,40,23,0,3,30,10,13,14,1,43,42,0,2,12,9,13,14,0,44,42,0,2,11,11,14,16,2,41,40,0,2,14
458973,23,31,31,0,38,31,0,0,31,20,40,40,0,40,20,0,0,40,25,25,25,0,38,38,0,0,25,3,9,11,1,24,65,0,3,8,4,11,13,0,23,63,0,3,10,0,3,5,3,24,68,0,0,5,27,32,33,1,42,25,0,2,31,27,31,32,0,47,20,0,0,32,27,33,33,2,35,29,0,4,29,10,15,17,1,38,44,0,2,16,8,12,14,0,40,46,0,2,13,13,20,23,2,36,40,0,2,20
458982,13,17,17,0,0,83,0,4,13,13,15,15,0,0,85,0,3,12,14,21,21,0,0,79,0,6,14,14,17,17,0,0,83,2,7,7,10,14,14,0,0,86,2,7,5,21,21,21,0,0,79,2,8,11,21,26,27,0,0,73,1,8,17,17,23,24,0,1,76,0,7,17,27,31,31,0,0,69,2,11,18,19,24,24,0,2,74,3,8,13,21,27,27,0,3,70,3,8,16,17,20,20,0,1,79,3,8,9
459204,81,81,82,0,0,18,70,11,1,86,86,86,0,0,14,79,6,0,74,75,76,1,1,23,58,18,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,69,69,0,0,30,35,31,2,74,74,75,0,0,25,46,26,3,63,64,64,0,0,35,25,36,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
459213,56,56,56,0,18,25,55,1,0,56,56,56,0,19,25,56,0,0,56,56,56,0,18,26,52,4,0,75,75,75,0,8,17,75,0,0,.,.,.,.,.,.,.,.,.,75,75,75,0,8,17,75,0,0,73,73,73,0,11,15,67,6,0,68,68,68,0,15,17,67,1,0,79,79,79,0,7,13,67,13,0,77,77,77,0,8,15,77,0,0,.,.,.,.,.,.,.,.,.,77,77,77,0,8,15,77,0,0
459259,20,22,22,2,17,59,.,7,15,14,14,14,4,14,68,.,7,7,31,38,38,0,23,38,.,8,31,10,10,10,0,28,63,.,0,10,12,12,12,0,30,58,.,0,12,0,0,0,0,14,86,.,0,0,28,34,35,1,26,38,.,4,31,27,33,33,2,28,37,.,2,31,30,37,39,0,22,39,.,7,31,24,29,29,1,25,46,.,5,24,19,26,26,1,31,41,.,4,21,30,32,33,0,16,51,.,6,27
459268,12,18,18,0,15,68,.,0,18,14,18,18,0,18,64,.,0,18,0,17,17,0,0,83,.,0,17,9,13,13,4,21,62,.,4,9,7,10,10,2,26,62,.,5,5,18,27,27,9,0,64,.,0,27,37,40,42,1,20,38,.,4,37,35,38,39,1,22,38,.,4,35,43,46,48,0,14,38,.,5,43,18,20,21,1,27,51,.,4,17,17,20,20,1,33,45,.,4,16,20,21,22,0,14,64,.,3,19
459310,94,94,94,0,0,6,94,0,.,94,94,94,0,0,6,94,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
459417,86,86,86,0,0,14,.,50,36,91,91,91,0,0,9,.,45,45,82,82,82,0,0,18,.,55,27,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,72,72,76,0,0,24,.,36,40,57,57,64,0,0,36,.,7,57,91,91,91,0,0,9,.,73,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
459514,56,56,56,0,4,41,56,0,.,56,56,56,0,3,41,56,0,.,56,56,56,0,6,39,56,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
459727,45,45,45,0,0,55,.,0,45,75,75,75,0,0,25,.,0,75,29,29,29,0,0,71,.,0,29,0,0,0,0,0,100,.,0,0,0,0,0,0,0,100,.,0,0,0,0,0,0,0,100,.,0,0,44,48,52,0,7,41,.,2,50,44,50,56,0,6,39,.,0,56,44,47,50,0,8,42,.,3,47,30,38,38,0,1,61,.,15,23,42,46,46,0,0,54,.,33,13,26,36,36,0,1,63,.,9,27
459824,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,0,0,0,.,.,100,100,100,100,0,0,0,.,.,100,100,100,100,0,0,0,.,.,100,100,100,100,0,0,0,.,.,100,100,100,100,0,0,0,.,.,100,.,.,.,.,.,.,.,.,.
459842,24,25,28,0,36,37,5,12,11,22,22,24,0,37,39,4,13,7,27,32,36,0,32,32,9,9,18,17,19,20,0,32,47,6,11,3,15,17,18,0,34,48,6,9,3,36,36,36,0,18,45,9,27,0,56,59,60,0,19,21,0,13,48,48,52,55,0,21,24,0,12,42,63,67,67,0,17,17,0,13,53,28,34,40,0,28,33,0,5,34,19,28,33,0,33,35,0,7,26,53,53,60,0,13,27,0,0,60
